client,round,class,accuracy,precision,recall,f1_score,cohen_kappa_score,roc_auc_score,confusion_matrix,TP,FP,FN,TN
6,17,awake,0.6680363353535946,0.8635476077531523,0.7042491745463378,0.7758055084787757,0.16124936439470694,0.6060732644165944,[[ 12766 12369][ 32873 78278]],12766,12369,32873,78278
6,17,asleep,0.6680363353535946,0.2797169087841539,0.507897354286851,0.3607539491903807,0.16124936439470694,0.6060732644165944,[[ 78278 32873][ 12369 12766]],78278,32873,12369,12766
6,17,avg,0.6680363353535946,0.571632258268653,0.6060732644165945,0.5682797288345782,0.16124936439470694,0.6060732644165944,,,,,
