client,round,class,accuracy,precision,recall,f1_score,cohen_kappa_score,roc_auc_score,confusion_matrix,TP,FP,FN,TN
6,10,awake,0.6935341854629236,0.8663822237242311,0.7380590368057868,0.7970889870238389,0.18724326324370932,0.6173485953871782,[[ 12483 12652][ 29115 82036]],12483,12652,29115,82036
6,10,asleep,0.6935341854629236,0.30008654262224144,0.49663815396856975,0.37411775283592824,0.18724326324370932,0.6173485953871781,[[ 82036 29115][ 12652 12483]],82036,29115,12652,12483
6,10,avg,0.6935341854629236,0.5832343831732363,0.6173485953871782,0.5856033699298836,0.18724326324370932,0.6173485953871782,,,,,
