client,round,class,accuracy,precision,recall,f1_score,cohen_kappa_score,roc_auc_score,confusion_matrix,TP,FP,FN,TN
10,6,awake,0.8039270357923778,0.9184583816575965,0.8335957391296525,0.8739718533051615,0.43720207151379176,0.7531615059284626,[[ 16909 8226][ 18496 92655]],16909,8226,18496,92655
10,6,asleep,0.8039270357923778,0.4775879113119616,0.6727272727272727,0.5586058804096465,0.43720207151379176,0.7531615059284626,[[ 92655 18496][ 8226 16909]],92655,18496,8226,16909
10,6,avg,0.8039270357923778,0.698023146484779,0.7531615059284626,0.716288866857404,0.43720207151379176,0.7531615059284626,,,,,
