client,round,class,accuracy,precision,recall,f1_score,cohen_kappa_score,roc_auc_score,confusion_matrix,TP,FP,FN,TN
16,11,awake,0.8062677017448601,0.8691179288837785,0.8976347491250641,0.8831461967081067,0.3176991856442417,0.6499313590463196,[[ 10110 15025][ 11378 99773]],10110,15025,11378,99773
16,11,asleep,0.8062677017448601,0.4704951600893522,0.40222796896757507,0.43369152564185054,0.3176991856442417,0.6499313590463196,[[ 99773 11378][ 15025 10110]],99773,11378,15025,10110
16,11,avg,0.8062677017448601,0.6698065444865653,0.6499313590463196,0.6584188611749786,0.3176991856442417,0.6499313590463196,,,,,
