client,round,class,accuracy,precision,recall,f1_score,cohen_kappa_score,roc_auc_score,confusion_matrix,TP,FP,FN,TN
9,7,awake,0.8349060064863596,0.8625778112244481,0.9487184100907774,0.9035997977737981,0.33810090231354395,0.6401638599091244,[[ 8335 16800][ 5700 105451]],8335,16800,5700,105451
9,7,asleep,0.8349060064863596,0.5938724617028857,0.33160930972747166,0.4255808016339035,0.33810090231354395,0.6401638599091246,[[ 105451 5700][ 16800 8335]],105451,5700,16800,8335
9,7,avg,0.8349060064863596,0.7282251364636669,0.6401638599091245,0.6645902997038508,0.33810090231354395,0.6401638599091245,,,,,
