client,round,class,accuracy,precision,recall,f1_score,cohen_kappa_score,roc_auc_score,confusion_matrix,TP,FP,FN,TN
8,20,awake,0.8107876084117224,0.8381288124851461,0.9518312925659688,0.8913687279099843,0.18089122717360673,0.5694505577610031,[[ 4702 20433][ 5354 105797]],4702,20433,5354,105797
8,20,asleep,0.8107876084117224,0.4675815433571997,0.18706982295603738,0.2672274161007076,0.18089122717360673,0.5694505577610032,[[ 105797 5354][ 20433 4702]],105797,5354,20433,4702
8,20,avg,0.8107876084117224,0.6528551779211729,0.5694505577610031,0.579298072005346,0.18089122717360673,0.5694505577610032,,,,,
