client,round,class,accuracy,precision,recall,f1_score,cohen_kappa_score,roc_auc_score,confusion_matrix,TP,FP,FN,TN
12,2,awake,0.8147572017668726,0.8158852730281302,0.9981016814963428,0.8978415868828047,0.003366808039237168,0.5010400987549349,[[ 100 25035][ 211 110940]],100,25035,211,110940
12,2,asleep,0.8147572017668726,0.3215434083601286,0.003978516013526954,0.007859781498074354,0.003366808039237168,0.5010400987549349,[[ 110940 211][ 25035 100]],110940,211,25035,100
12,2,avg,0.8147572017668726,0.5687143406941294,0.5010400987549349,0.4528506841904395,0.003366808039237168,0.5010400987549349,,,,,
