client,round,class,accuracy,precision,recall,f1_score,cohen_kappa_score,roc_auc_score,confusion_matrix,TP,FP,FN,TN
10,12,awake,0.8073169657925245,0.915110854661568,0.8418367805957662,0.8769458580519396,0.4366736594331113,0.7482507953108131,[[ 16455 8680][ 17580 93571]],16455,8680,17580,93571
10,12,asleep,0.8073169657925245,0.4834728955486999,0.6546648100258603,0.5561940172384654,0.4366736594331113,0.7482507953108131,[[ 93571 17580][ 8680 16455]],93571,17580,8680,16455
10,12,avg,0.8073169657925245,0.699291875105134,0.7482507953108133,0.7165699376452025,0.4366736594331113,0.7482507953108131,,,,,
