client,round,class,accuracy,precision,recall,f1_score,cohen_kappa_score,roc_auc_score,confusion_matrix,TP,FP,FN,TN
16,8,awake,0.8047414994937118,0.8615045155993432,0.9062806452483558,0.8833255144050964,0.287574405055832,0.6309998810089004,[[ 8941 16194][ 10417 100734]],8941,16194,10417,100734
16,8,asleep,0.8047414994937118,0.46187622688294244,0.355719116769445,0.40190591778482004,0.287574405055832,0.6309998810089004,[[ 100734 10417][ 16194 8941]],100734,10417,16194,8941
16,8,avg,0.8047414994937118,0.6616903712411428,0.6309998810089004,0.6426157160949583,0.287574405055832,0.6309998810089004,,,,,
