client,round,class,accuracy,precision,recall,f1_score,cohen_kappa_score,roc_auc_score,confusion_matrix,TP,FP,FN,TN
8,25,awake,0.7995171917878579,0.8486383523814277,0.9178954755242867,0.8819092979734022,0.22539993020969606,0.5969624582713935,[[ 6938 18197][ 9126 102025]],6938,18197,9126,102025
8,25,asleep,0.7995171917878579,0.4318974103585657,0.2760294410185001,0.3368042913662953,0.22539993020969606,0.5969624582713934,[[ 102025 9126][ 18197 6938]],102025,9126,18197,6938
8,25,avg,0.7995171917878579,0.6402678813699967,0.5969624582713934,0.6093567946698488,0.22539993020969606,0.5969624582713935,,,,,
