client,round,class,accuracy,precision,recall,f1_score,cohen_kappa_score,roc_auc_score,confusion_matrix,TP,FP,FN,TN
1,20,awake,0.673326680656854,0.830729063256959,0.7528587237181852,0.78987932019086,0.06418688745242385,0.5372409791258521,[[ 8084 17051][ 27470 83681]],8084,17051,27470,83681
1,20,asleep,0.673326680656854,0.22737244754458008,0.321623234533519,0.26640742144375423,0.06418688745242385,0.5372409791258521,[[ 83681 27470][ 17051 8084]],83681,27470,17051,8084
1,20,avg,0.673326680656854,0.5290507554007695,0.5372409791258521,0.5281433708173071,0.06418688745242385,0.5372409791258521,,,,,
