client,round,class,accuracy,precision,recall,f1_score,cohen_kappa_score,roc_auc_score,confusion_matrix,TP,FP,FN,TN
4,8,awake,0.8341795929148995,0.8668511583203526,0.9412600876285414,0.9025245532537106,0.3538906059886674,0.65095628212738,[[ 9065 16070][ 6529 104622]],9065,16070,6529,104622
4,8,asleep,0.8341795929148995,0.5813133256380659,0.3606524766262184,0.4451373714061234,0.3538906059886674,0.6509562821273799,[[ 104622 6529][ 16070 9065]],104622,6529,16070,9065
4,8,avg,0.8341795929148995,0.7240822419792092,0.6509562821273799,0.673830962329917,0.3538906059886674,0.65095628212738,,,,,
