client,round,class,accuracy,precision,recall,f1_score,cohen_kappa_score,roc_auc_score,confusion_matrix,TP,FP,FN,TN
1,24,awake,0.65570197966042,0.8259047271103533,0.732184145891625,0.7762257438396863,0.041593616760018715,0.524834861885538,[[ 7980 17155][ 29768 81383]],7980,17155,29768,81383
1,24,asleep,0.65570197966042,0.21140192857899756,0.317485577879451,0.25380468489098806,0.041593616760018715,0.524834861885538,[[ 81383 29768][ 17155 7980]],81383,29768,17155,7980
1,24,avg,0.65570197966042,0.5186533278446754,0.524834861885538,0.5150152143653373,0.041593616760018715,0.524834861885538,,,,,
