client,round,class,accuracy,precision,recall,f1_score,cohen_kappa_score,roc_auc_score,confusion_matrix,TP,FP,FN,TN
18,7,awake,0.8244867411179432,0.8318761841714795,0.9835808944588893,0.9013901027323847,0.15193882169781037,0.5522638906350544,[[ 3040 22095][ 1825 109326]],3040,22095,1825,109326
18,7,asleep,0.8244867411179432,0.6248715313463515,0.12094688681121941,0.20266666666666663,0.15193882169781037,0.5522638906350543,[[ 109326 1825][ 22095 3040]],109326,1825,22095,3040
18,7,avg,0.8244867411179432,0.7283738577589155,0.5522638906350543,0.5520283846995256,0.15193882169781037,0.5522638906350543,,,,,
