client,round,class,accuracy,precision,recall,f1_score,cohen_kappa_score,roc_auc_score,confusion_matrix,TP,FP,FN,TN
1,8,awake,0.7033884624979821,0.8388249609565875,0.7876582306951805,0.8124367813958667,0.10720318703599896,0.5591961334498381,[[ 8313 16822][ 23602 87549]],8313,16822,23602,87549
1,8,asleep,0.7033884624979821,0.2604731317562275,0.3307340362044957,0.2914285714285714,0.10720318703599896,0.5591961334498381,[[ 87549 23602][ 16822 8313]],87549,23602,16822,8313
1,8,avg,0.7033884624979821,0.5496490463564075,0.5591961334498381,0.5519326764122191,0.10720318703599896,0.5591961334498381,,,,,
