client,round,class,accuracy,precision,recall,f1_score,cohen_kappa_score,roc_auc_score,confusion_matrix,TP,FP,FN,TN
4,11,awake,0.8212288863126073,0.8545249552692424,0.9409991812939155,0.8956797259687432,0.28129130849704087,0.6162923099626529,[[ 7329 17806][ 6558 104593]],7329,17806,6558,104593
4,11,asleep,0.8212288863126073,0.5277597753294448,0.29158543863139047,0.37563425759827795,0.28129130849704087,0.6162923099626529,[[ 104593 6558][ 17806 7329]],104593,6558,17806,7329
4,11,avg,0.8212288863126073,0.6911423652993436,0.6162923099626529,0.6356569917835106,0.28129130849704087,0.6162923099626529,,,,,
