client,round,class,accuracy,precision,recall,f1_score,cohen_kappa_score,roc_auc_score,confusion_matrix,TP,FP,FN,TN
11,29,awake,0.8314060138238704,0.8598057618542397,0.9478277298449856,0.9016736491199542,0.32054899029601147,0.6321991245206626,[[ 7957 17178][ 5799 105352]],7957,17178,5799,105352
11,29,asleep,0.8314060138238704,0.5784384995638266,0.3165705191963398,0.40919492941811725,0.32054899029601147,0.6321991245206627,[[ 105352 5799][ 17178 7957]],105352,5799,17178,7957
11,29,avg,0.8314060138238704,0.7191221307090332,0.6321991245206627,0.6554342892690357,0.32054899029601147,0.6321991245206626,,,,,
