client,round,class,accuracy,precision,recall,f1_score,cohen_kappa_score,roc_auc_score,confusion_matrix,TP,FP,FN,TN
0,23,awake,0.8047561745153574,0.8684967570960318,0.8963212206817752,0.8821896459358106,0.313338921247138,0.6480810400206171,[[ 10050 15085][ 11524 99627]],10050,15085,11524,99627
0,23,asleep,0.8047561745153574,0.4658385093167702,0.3998408593594589,0.4303239204435976,0.313338921247138,0.6480810400206171,[[ 99627 11524][ 15085 10050]],99627,11524,15085,10050
0,23,avg,0.8047561745153574,0.6671676332064009,0.6480810400206171,0.6562567831897042,0.313338921247138,0.6480810400206171,,,,,
