client,round,class,accuracy,precision,recall,f1_score,cohen_kappa_score,roc_auc_score,confusion_matrix,TP,FP,FN,TN
15,15,awake,0.599195808813818,0.8178638505572613,0.6542631195400851,0.7269728292380592,0.007407166654140096,0.5049712255746974,[[ 8940 16195][ 38429 72722]],8940,16195,38429,72722
15,15,asleep,0.599195808813818,0.18873102662078575,0.3556793316093097,0.24660708374710363,0.007407166654140096,0.5049712255746974,[[ 72722 38429][ 16195 8940]],72722,38429,16195,8940
15,15,avg,0.599195808813818,0.5032974385890235,0.5049712255746974,0.4867899564925814,0.007407166654140096,0.5049712255746974,,,,,
