client,round,class,accuracy,precision,recall,f1_score,cohen_kappa_score,roc_auc_score,confusion_matrix,TP,FP,FN,TN
11,16,awake,0.8327707908369165,0.8709861614940212,0.9331809880252989,0.9010115575554098,0.3667302567771906,0.6609608938535088,[[ 9771 15364][ 7427 103724]],9771,15364,7427,103724
11,16,asleep,0.8327707908369165,0.5681474590068613,0.3887407996817187,0.46162568209198496,0.3667302567771906,0.6609608938535088,[[ 103724 7427][ 15364 9771]],103724,7427,15364,9771
11,16,avg,0.8327707908369165,0.7195668102504412,0.6609608938535088,0.6813186198236973,0.3667302567771906,0.6609608938535088,,,,,
