client,round,class,accuracy,precision,recall,f1_score,cohen_kappa_score,roc_auc_score,confusion_matrix,TP,FP,FN,TN
0,14,awake,0.831765551854189,0.8838085459971635,0.913864922492825,0.8985854689891277,0.4062113560298697,0.6912869470232177,[[ 11781 13354][ 9574 101577]],11781,13354,9574,101577
0,14,asleep,0.831765551854189,0.5516740810114728,0.4687089715536105,0.5068186706818671,0.4062113560298697,0.6912869470232178,[[ 101577 9574][ 13354 11781]],101577,9574,13354,11781
0,14,avg,0.831765551854189,0.7177413135043181,0.6912869470232178,0.7027020698354974,0.4062113560298697,0.6912869470232177,,,,,
