client,round,class,accuracy,precision,recall,f1_score,cohen_kappa_score,roc_auc_score,confusion_matrix,TP,FP,FN,TN
3,23,awake,0.8229825513992634,0.8553415976611626,0.9423217065073639,0.8967273816913167,0.2876120440640414,0.6187836899355996,[[ 7421 17714][ 6411 104740]],7421,17714,6411,104740
3,23,asleep,0.8229825513992634,0.5365095430884904,0.2952456733638353,0.3808863910488362,0.2876120440640414,0.6187836899355996,[[ 104740 6411][ 17714 7421]],104740,6411,17714,7421
3,23,avg,0.8229825513992634,0.6959255703748265,0.6187836899355996,0.6388068863700764,0.2876120440640414,0.6187836899355996,,,,,
