client,round,class,accuracy,precision,recall,f1_score,cohen_kappa_score,roc_auc_score,confusion_matrix,TP,FP,FN,TN
5,1,awake,0.7898096649692559,0.8423245122689969,0.9132261518114997,0.87634357544311,0.18373070650193624,0.5786341620406215,[[ 6134 19001][ 9645 101506]],6134,19001,9645,101506
5,1,asleep,0.7898096649692559,0.3887445338741365,0.2440421722697434,0.299848462628929,0.18373070650193624,0.5786341620406216,[[ 101506 9645][ 19001 6134]],101506,9645,19001,6134
5,1,avg,0.7898096649692559,0.6155345230715666,0.5786341620406216,0.5880960190360195,0.18373070650193624,0.5786341620406215,,,,,
