client,round,class,accuracy,precision,recall,f1_score,cohen_kappa_score,roc_auc_score,confusion_matrix,TP,FP,FN,TN
1,13,awake,0.7220917775853719,0.8206770997444246,0.8435731572365521,0.8319676313092549,0.029881249505158913,0.5142273981925749,[[ 4647 20488][ 17387 93764]],4647,20488,17387,93764
1,13,asleep,0.7220917775853719,0.210901334301534,0.18488163914859757,0.19703618902245115,0.029881249505158913,0.5142273981925748,[[ 93764 17387][ 20488 4647]],93764,17387,20488,4647
1,13,avg,0.7220917775853719,0.5157892170229793,0.5142273981925749,0.514501910165853,0.029881249505158913,0.5142273981925749,,,,,
