client,round,class,accuracy,precision,recall,f1_score,cohen_kappa_score,roc_auc_score,confusion_matrix,TP,FP,FN,TN
8,0,awake,0.8034794476321853,0.8214802847170358,0.9697888458043562,0.8894949436602866,0.05472769145072509,0.5189107348178336,[[ 1710 23425][ 3358 107793]],1710,23425,3358,107793
8,0,asleep,0.8034794476321853,0.3374112075769534,0.06803262383131092,0.11323378472337185,0.05472769145072509,0.5189107348178336,[[ 107793 3358][ 23425 1710]],107793,3358,23425,1710
8,0,avg,0.8034794476321853,0.5794457461469946,0.5189107348178336,0.5013643641918292,0.05472769145072509,0.5189107348178336,,,,,
