client,round,class,accuracy,precision,recall,f1_score,cohen_kappa_score,roc_auc_score,confusion_matrix,TP,FP,FN,TN
1,7,awake,0.6928664719780462,0.8457838059023723,0.7624312871679068,0.8019474989117475,0.12636270160766028,0.5738354963788609,[[ 9683 15452][ 26406 84745]],9683,15452,26406,84745
1,7,asleep,0.6928664719780462,0.2683089029898307,0.385239705589815,0.31631386384424404,0.12636270160766028,0.5738354963788609,[[ 84745 26406][ 15452 9683]],84745,26406,15452,9683
1,7,avg,0.6928664719780462,0.5570463544461015,0.5738354963788609,0.5591306813779958,0.12636270160766028,0.5738354963788609,,,,,
