client,round,class,accuracy,precision,recall,f1_score,cohen_kappa_score,roc_auc_score,confusion_matrix,TP,FP,FN,TN
0,6,awake,0.8364175337158622,0.880384249865153,0.9251198819623755,0.9021978504057907,0.4044465900887326,0.6846407048562624,[[ 11164 13971][ 8323 102828]],11164,13971,8323,102828
0,6,asleep,0.8364175337158622,0.5728947503463848,0.4441615277501492,0.5003809779929184,0.4044465900887326,0.6846407048562624,[[ 102828 8323][ 13971 11164]],102828,8323,13971,11164
0,6,avg,0.8364175337158622,0.7266395001057688,0.6846407048562624,0.7012894141993545,0.4044465900887326,0.6846407048562624,,,,,
