client,round,class,accuracy,precision,recall,f1_score,cohen_kappa_score,roc_auc_score,confusion_matrix,TP,FP,FN,TN
18,15,awake,0.8208913608147572,0.8303991102104871,0.9806839344675261,0.8993061571335461,0.13753837003810732,0.5474734571880101,[[ 2872 22263][ 2147 109004]],2872,22263,2147,109004
18,15,asleep,0.8208913608147572,0.57222554293684,0.11426297990849413,0.19048882403661205,0.13753837003810732,0.5474734571880101,[[ 109004 2147][ 22263 2872]],109004,2147,22263,2872
18,15,avg,0.8208913608147572,0.7013123265736636,0.5474734571880101,0.5448974905850791,0.13753837003810732,0.5474734571880101,,,,,
