client,round,class,accuracy,precision,recall,f1_score,cohen_kappa_score,roc_auc_score,confusion_matrix,TP,FP,FN,TN
11,22,awake,0.8313546512481106,0.846206403681685,0.9694019846874972,0.9036245618154676,0.2534178184513318,0.5951445968792569,[[ 5552 19583][ 3401 107750]],5552,19583,3401,107750
11,22,asleep,0.8313546512481106,0.6201273316206858,0.2208872090710165,0.3257451302511148,0.2534178184513318,0.5951445968792568,[[ 107750 3401][ 19583 5552]],107750,3401,19583,5552
11,22,avg,0.8313546512481106,0.7331668676511853,0.5951445968792568,0.6146848460332912,0.2534178184513318,0.5951445968792568,,,,,
