client,round,class,accuracy,precision,recall,f1_score,cohen_kappa_score,roc_auc_score,confusion_matrix,TP,FP,FN,TN
15,11,awake,0.5809033943325066,0.82382835910344,0.6183660066036293,0.7064615764129077,0.023552759817518476,0.5168018614677188,[[ 10437 14698][ 42419 68732]],10437,14698,42419,68732
15,11,asleep,0.5809033943325066,0.19746102618434994,0.4152377163318082,0.2676462668769473,0.023552759817518476,0.5168018614677187,[[ 68732 42419][ 14698 10437]],68732,42419,14698,10437
15,11,avg,0.5809033943325066,0.510644692643895,0.5168018614677188,0.48705392164492756,0.023552759817518476,0.5168018614677188,,,,,
