client,round,class,accuracy,precision,recall,f1_score,cohen_kappa_score,roc_auc_score,confusion_matrix,TP,FP,FN,TN
7,13,awake,0.8234374770702787,0.8320978050305832,0.981574614713318,0.9006765207269606,0.15261425787973604,0.5528521571676795,[[ 3120 22015][ 2048 109103]],3120,22015,2048,109103
7,13,asleep,0.8234374770702787,0.6037151702786377,0.12412969962204098,0.20592020592020593,0.15261425787973604,0.5528521571676794,[[ 109103 2048][ 22015 3120]],109103,2048,22015,3120
7,13,avg,0.8234374770702787,0.7179064876546104,0.5528521571676794,0.5532983633235833,0.15261425787973604,0.5528521571676794,,,,,
