client,round,class,accuracy,precision,recall,f1_score,cohen_kappa_score,roc_auc_score,confusion_matrix,TP,FP,FN,TN
0,17,awake,0.8041911861819996,0.877281376463967,0.8835008232044695,0.880380115648393,0.3411099556033369,0.668486039213136,[[ 11398 13737][ 12949 98202]],11398,13737,12949,98202
0,17,asleep,0.8041911861819996,0.4681480264508974,0.45347125522180226,0.4606927771714967,0.3411099556033369,0.668486039213136,[[ 98202 12949][ 13737 11398]],98202,12949,13737,11398
0,17,avg,0.8041911861819996,0.6727147014574322,0.6684860392131359,0.6705364464099448,0.3411099556033369,0.668486039213136,,,,,
