client,round,class,accuracy,precision,recall,f1_score,cohen_kappa_score,roc_auc_score,confusion_matrix,TP,FP,FN,TN
9,3,awake,0.837885035880428,0.865920502263968,0.9480166620183355,0.9051108057034873,0.35675645853548277,0.6494409946256388,[[ 8819 16316][ 5778 105373]],8819,16316,5778,105373
9,3,asleep,0.837885035880428,0.6041652394327601,0.3508653272329421,0.4439242927615021,0.35675645853548277,0.6494409946256388,[[ 105373 5778][ 16316 8819]],105373,5778,16316,8819
9,3,avg,0.837885035880428,0.7350428708483641,0.6494409946256388,0.6745175492324947,0.35675645853548277,0.6494409946256388,,,,,
